full_name,position,salary,team,opp,Slate,game_date,Projection,Floor,Ceiling,avg_DKPts,RosterPercent,proj_team_score,total_line,spread_line,Adj_opp_Rank,UpsideProb,Leverage
Nyheim Hines,RB,4560.0,IND,HOU,Main,Sunday 22-09-11 12:00 PM,6.477633112549565,4.6,12.2,5.3500000000000005,4.576942294829405,26.214285714285715,44.714285714285715,-7.714285714285714,30.0,0.0,0.0
Jordan Wilkins,RB,4000.0,TEN,NYG,Main,Sunday 22-09-11 03:25 PM,3.2026819191796396,1.7,7.7,0.2125,1.0,25.321428571428573,44.142857142857146,-6.5,26.0,0.0,0.0
Boston Scott,RB,4400.0,PHI,DET,Main,Sunday 22-09-11 01:00 PM,7.036030422964345,3.0,14.1,8.65,2.626925463115539,25.25,46.5,-4.0,23.0,0.03,0.27712155815259654
Nick Bawden,RB,4000.0,NYJ,BAL,Main,Sunday 22-09-11 01:00 PM,2.0177760515730117,0.1,1.4,0.375,1.0,20.285714285714285,45.285714285714285,4.714285714285714,10.0,0.0,0.0
Chase Edmonds,RB,5460.0,MIA,NE,Main,Sunday 22-09-11 01:00 PM,10.802448087813168,7.4,18.7,10.600000000000001,7.148992241153904,23.75,44.714285714285715,-2.7857142857142856,27.0,0.05,0.16971568694177427
Rashaad Penny,RB,4780.0,SEA,DEN,Full,Monday 22-09-12 05:15 PM,12.581402498591496,5.4,25.5,16.5,3.5739125583600977,18.785714285714285,41.714285714285715,4.142857142857143,9.0,0.27,1.8332287067510407
Nick Chubb,RB,7460.0,CLE,CAR,Main,Sunday 22-09-11 01:00 PM,16.208040699835575,10.2,27.2,16.7,12.200441701246232,23.75,43.2,-4.3,6.0,0.09,0.17900442344188633
John Kelly,RB,3800.0,CLE,CAR,Main,Sunday 22-09-11 01:00 PM,2.7667923863975314,0.5,3.8,1.7375,1.0,23.75,43.2,-4.3,6.0,0.0,0.0
Ronald Jones,RB,4560.0,KC,ARI,Main,Sunday 22-09-11 01:25 PM,5.550725901380631,2.5,9.8,6.2375,1.178689983372375,28.0,53.142857142857146,-2.857142857142857,7.0,0.0,0.0
Royce Freeman,RB,4140.0,HOU,IND,Main,Sunday 22-09-11 12:00 PM,3.7478090799310118,1.2,5.6,3.1125000000000003,1.0,18.5,44.714285714285715,7.714285714285714,8.0,0.0,0.0
Saquon Barkley,RB,6520.0,NYG,TEN,Main,Sunday 22-09-11 03:25 PM,13.186438241629636,8.0,19.6,11.012500000000001,1.0,18.821428571428573,44.142857142857146,6.5,15.0,0.02,0.4853184516595397
Sony Michel,RB,5000.0,MIA,NE,Main,Sunday 22-09-11 01:00 PM,10.870848468997414,5.3,18.0,12.9,4.95484120958594,23.75,44.714285714285715,-2.7857142857142856,27.0,0.06,0.2938450080220206
Alexander Mattison,RB,5980.0,MIN,GB,Main,Sunday 22-09-11 03:25 PM,9.060328695021873,5.1,16.8,8.1,3.2731474529636637,23.607142857142858,48.714285714285715,1.5,18.0,0.02,0.14827271262103064
Justice Hill,RB,4000.0,BAL,NYJ,Main,Sunday 22-09-11 01:00 PM,3.82095455319198,1.5,6.5,1.625,1.1313869679960455,25.0,45.285714285714285,-4.714285714285714,32.0,0.0,0.0
Darwin Thompson,RB,4000.0,SEA,DEN,Full,Monday 22-09-12 05:15 PM,4.7485036141335435,2.0,8.0,3.7875,1.0,18.785714285714285,41.714285714285715,4.142857142857143,9.0,0.0,0.0
Benny Snell,RB,4240.0,PIT,CIN,Main,Sunday 22-09-11 01:00 PM,4.0500812774271635,0.3,2.1,1.0375,1.0,19.071428571428573,44.5,6.357142857142857,20.0,0.0,0.0
Sutton Smith,RB,4000.0,LV,LAC,Main,Sunday 22-09-11 01:25 PM,5.8282178079267695,4.658643648018648,11.961507867132868,,1.394780422992719,23.821428571428573,51.642857142857146,4.0,29.0,0.0637913752913753,1.1098209788181292
Miles Sanders,RB,5740.0,PHI,DET,Main,Sunday 22-09-11 01:00 PM,13.32339163853941,6.8,20.1,10.475,10.665587142061826,25.25,46.5,-4.0,23.0,0.06,0.136509630045286
Devin Singletary,RB,4920.0,BUF,LA,Full,Thursday 22-09-08 05:20 PM,13.615803314440845,7.8,20.5,14.775,3.5270644254956833,26.0,52.07142857142857,0.07142857142857142,13.0,0.13,0.8943896553133344
Tony Pollard,RB,5860.0,DAL,TB,Full,Sunday 22-09-11 07:20 PM,10.190482412485238,6.5,16.6,10.475000000000001,5.282806438310354,24.714285714285715,51.785714285714285,2.357142857142857,12.0,0.01,0.045933771881178684
Ryquell Armstead,RB,3980.0,JAX,WAS,Main,Sunday 22-09-11 01:00 PM,5.538830858483969,2.5,9.6,4.1000000000000005,1.0,20.107142857142858,44.07142857142857,3.857142857142857,16.0,0.0,0.0
Qadree Ollison,RB,4000.0,ATL,NO,Main,Sunday 22-09-11 01:00 PM,3.2058618182571657,0.8,6.0,2.5875000000000004,1.0,18.964285714285715,42.142857142857146,4.214285714285714,4.0,0.0,0.0
Trayveon Williams,RB,4000.0,CIN,PIT,Main,Sunday 22-09-11 01:00 PM,3.7319862341534624,0.6,5.8,2.075,1.0,25.428571428571427,44.5,-6.357142857142857,28.0,0.0,0.0
Myles Gaskin,RB,5260.0,MIA,NE,Main,Sunday 22-09-11 01:00 PM,7.940465102413913,7.1,19.5,8.0625,6.696427667451898,23.75,44.714285714285715,-2.7857142857142856,27.0,0.08,0.2898969275922674
Elijah Holyfield,RB,4000.0,CIN,PIT,Main,Sunday 22-09-11 01:00 PM,5.652994847460721,4.907255244755245,12.36705273892774,,1.2443057336285568,25.428571428571427,44.5,-6.357142857142857,28.0,0.0867087703962704,1.690957658424741
Ty Johnson,RB,4500.0,NYJ,BAL,Main,Sunday 22-09-11 01:00 PM,6.132700857595466,5.0,14.2,5.699999999999999,1.472201326169479,20.285714285714285,45.285714285714285,4.714285714285714,10.0,0.02,0.3296549480241876
Travis Homer,RB,4060.0,SEA,DEN,Full,Monday 22-09-12 05:15 PM,4.560064890186862,2.8,9.7,4.362500000000001,1.0,18.785714285714285,41.714285714285715,4.142857142857143,9.0,0.0,0.0
Damien Harris,RB,5860.0,NE,MIA,Main,Sunday 22-09-11 01:00 PM,11.902136947000145,7.5,23.5,16.3,5.483808512852775,20.964285714285715,44.714285714285715,2.7857142857142856,5.0,0.13,0.575251657382534
Darrell Henderson,RB,6220.0,LA,BUF,Full,Thursday 22-09-08 05:20 PM,13.900570376132892,8.1,19.9,12.125000000000002,8.471757505561383,26.071428571428573,52.07142857142857,-0.07142857142857142,3.0,0.03,0.08592994747682757
David Montgomery,RB,5980.0,CHI,SF,Main,Sunday 22-09-11 12:00 PM,16.854313896396988,11.2,27.0,15.9,6.534672080598348,17.928571428571427,42.285714285714285,6.428571428571429,2.0,0.22,0.8169503997155608
Josh Jacobs,RB,6200.0,LV,LAC,Main,Sunday 22-09-11 01:25 PM,16.54907761643566,9.6,24.8,17.0625,11.441555897659782,23.821428571428573,51.642857142857146,4.0,29.0,0.13,0.27571162209085853
Josh Hokit,RB,4000.0,SF,CHI,Main,Sunday 22-09-11 12:00 PM,3.52765154862326,3.972596153846154,10.99959935897436,,1.0,24.357142857142858,42.285714285714285,-6.428571428571429,22.0,0.058477564102564106,1.4190120433538944
Darius Bradwell,RB,4000.0,CAR,CLE,Main,Sunday 22-09-11 01:00 PM,2.950292525226984,4.012099358974359,10.283665293040293,,1.0,19.45,43.2,4.3,14.0,0.08049606643356644,1.9533113163110951
Jake Bargas,RB,4000.0,MIN,GB,Main,Sunday 22-09-11 03:25 PM,5.049620998584113,5.67477904040404,12.868661616161617,,1.0,23.607142857142858,48.714285714285715,1.5,18.0,0.08862626262626264,2.1505980277074754
Darius Anderson,RB,4000.0,HOU,IND,Main,Sunday 22-09-11 12:00 PM,3.456255280789536,3.0792497086247086,9.658243006993008,,1.0,18.5,44.714285714285715,7.714285714285714,8.0,0.03692919580419579,0.8961210064362135
